route_name,direction,stop_seq,stop_lon,stop_lat,stop_name,stop_full_name
107,1,10,116.381094,39.93306,厂桥路口东,北京市西城区厂桥路口东(公交站)
107,1,11,116.38533,39.933121,东官房,北京市西城区东官房(公交站)
107,1,12,116.39093,39.933464,北海北门,北京市西城区北海北门(公交站)
107,1,13,116.396224,39.934983,地安门外,北京市西城区地安门外(公交站)
107,1,14,116.396065,39.937965,鼓楼,鼓楼(公交站)
107,1,15,116.400365,39.940816,宝钞胡同,北京市东城区宝钞胡同(公交站)
107,1,16,116.405799,39.940864,小经厂,北京市东城区小经厂(公交站)
107,1,17,116.410194,39.940796,交道口东,北京市东城区交道口东(公交站)
107,1,18,116.41566,39.940851,北新桥路口西,北京市东城区北新桥路口西(公交站)
107,1,19,116.424576,39.941006,东内小街,北京市东城区东内小街(公交站)
107,1,20,116.431282,39.941032,东直门内,北京市东城区东直门内(公交站)
107,1,21,116.437496,39.94174,东直门枢纽站,北京市东城区东直门枢纽站(公交站)
108,0,1,116.419045,39.90036,崇文门,北京市东城区崇文门(公交站)
108,0,2,116.418338,39.902613,崇文门内,北京市东城区崇文门内(公交站)
108,0,3,116.417847,39.909935,东单路口北,北京市东城区东单路口北(公交站)
108,0,4,116.417834,39.916437,米市大街,北京市东城区米市大街(公交站)
108,0,5,116.417671,39.920277,灯市东口,北京市东城区灯市东口(公交站)
108,0,6,116.411057,39.91991,灯市西口,北京市东城区灯市西口(公交站)
108,0,7,116.410789,39.925724,美术馆北,北京市东城区美术馆北(公交站)
108,0,8,116.409126,39.927773,大佛寺,北京市东城区大佛寺(公交站)
108,0,9,116.408989,39.931026,宽街路口南,北京市东城区宽街路口南(公交站)
108,0,10,116.408615,39.936068,北兵马司,北京市东城区北兵马司(公交站)
108,0,11,116.408511,39.938785,交道口南,北京市东城区交道口南(公交站)
108,0,12,116.40839,39.943681,方家胡同,北京市东城区方家胡同(公交站)
108,0,13,116.408356,39.946499,安定门内,北京市东城区安定门内(公交站)
108,0,14,116.408047,39.9526,地坛西门,北京市东城区地坛西门(公交站)
108,0,15,116.40786,39.959923,蒋宅口,北京市东城区蒋宅口(公交站)
108,0,16,116.407829,39.96476,安外甘水桥,北京市东城区安外甘水桥(公交站)
108,0,17,116.407483,39.972066,安贞里,北京市朝阳区安贞里(公交站)
108,0,18,116.407547,39.975174,五路居,北京市朝阳区五路居(公交站)
108,0,19,116.40747,39.981046,奥体东门,北京市朝阳区奥体东门(公交站)
108,0,20,116.407578,39.993429,安慧桥北,北京市朝阳区安慧桥北(公交站)
108,0,21,116.407656,39.997661,炎黄艺术馆,北京市朝阳区炎黄艺术馆(公交站)
108,0,22,116.407745,40.001602,大屯南,北京市朝阳区大屯南(公交站)
108,1,1,116.409714,40.002659,大屯东,北京市朝阳区大屯东(公交站)
108,1,2,116.407745,40.001602,大屯南,北京市朝阳区大屯南(公交站)
108,1,3,116.407656,39.997661,炎黄艺术馆,北京市朝阳区炎黄艺术馆(公交站)
108,1,4,116.407578,39.993429,安慧桥北,北京市朝阳区安慧桥北(公交站)
108,1,5,116.40747,39.981046,奥体东门,北京市朝阳区奥体东门(公交站)
108,1,6,116.407547,39.975174,五路居,北京市朝阳区五路居(公交站)
108,1,7,116.407483,39.972066,安贞里,北京市朝阳区安贞里(公交站)
108,1,8,116.407829,39.96476,安外甘水桥,北京市东城区安外甘水桥(公交站)
108,1,9,116.40786,39.959923,蒋宅口,北京市东城区蒋宅口(公交站)
108,1,10,116.408047,39.9526,地坛西门,北京市东城区地坛西门(公交站)
108,1,11,116.408356,39.946499,安定门内,北京市东城区安定门内(公交站)
108,1,12,116.40839,39.943681,方家胡同,北京市东城区方家胡同(公交站)
108,1,13,116.408511,39.938785,交道口南,北京市东城区交道口南(公交站)
108,1,14,116.408615,39.936068,北兵马司,北京市东城区北兵马司(公交站)
108,1,15,116.408989,39.931026,宽街路口南,北京市东城区宽街路口南(公交站)
108,1,16,116.409126,39.927773,大佛寺,北京市东城区大佛寺(公交站)
108,1,17,116.410789,39.925724,美术馆北,北京市东城区美术馆北(公交站)
108,1,18,116.411057,39.91991,灯市西口,北京市东城区灯市西口(公交站)
108,1,19,116.417671,39.920277,灯市东口,北京市东城区灯市东口(公交站)
108,1,20,116.417834,39.916437,米市大街,北京市东城区米市大街(公交站)
108,1,21,116.417847,39.909935,东单路口北,北京市东城区东单路口北(公交站)
108,1,22,116.418338,39.902613,崇文门内,北京市东城区崇文门内(公交站)
108,1,23,116.419045,39.90036,崇文门,北京市东城区崇文门(公交站)
109,0,1,116.324944,39.893372,北京西站南广场,北京市丰台区北京西站南广场(公交站)
109,0,2,116.328842,39.889896,湾子,北京市西城区湾子(公交站)
109,0,3,116.334648,39.889938,广外甘石桥,北京市西城区广外甘石桥(公交站)
109,0,4,116.338355,39.889913,达官营,北京市西城区达官营(公交站)
109,0,5,116.355803,39.889284,广安门内,广安门内(公交站)
109,0,6,116.362488,39.8894,牛街路口西,北京市西城区牛街路口西(公交站)
109,0,7,116.371841,39.889351,菜市口西,北京市西城区菜市口西(公交站)
109,0,8,116.374358,39.891602,菜市口北,北京市西城区菜市口北(公交站)
109,0,9,116.374565,39.894764,校场口,北京市西城区校场口(公交站)
109,0,10,116.374549,39.897474,宣武门外,北京市西城区宣武门外(公交站)
109,0,11,116.37421,39.905825,西单路口南,北京市西城区西单路口南(公交站)
109,0,12,116.373906,39.910868,西单商场,北京市西城区西单商场(公交站)
109,0,13,116.373596,39.919163,缸瓦市,北京市西城区缸瓦市(公交站)
109,0,14,116.376549,39.922522,西四丁字街,北京市西城区西四丁字街(公交站)
109,0,15,116.379333,39.922626,西安门,北京市西城区西安门(公交站)
109,0,16,116.389041,39.922374,北海,北京市西城区北海(公交站)
109,0,17,116.395645,39.923275,神武门,北京市西城区神武门(公交站)
