stop_id,stop_name,stop_lon,stop_lat,stop_full_name
S0573,百子湾路口东,116.479479,39.900482,北京市朝阳区百子湾路口东(公交站)
S0574,百子湾桥西,116.484055,39.900597,北京市朝阳区百子湾桥西(公交站)
S0582,西城三里河,116.335833,39.914049,北京市西城区西城三里河(公交站)
S0583,三里河东口,116.342548,39.914006,北京市西城区三里河东口(公交站)
S0584,二七剧场路北口,116.347318,39.913963,北京市西城区二七剧场路北口(公交站)
S0585,儿童医院路口西,116.352201,39.913958,北京市西城区儿童医院路口西(公交站)
S0586,月坛公园,116.352791,39.918464,北京市西城区月坛公园(公交站)
S0587,西四路口北,116.373367,39.92524,北京市西城区西四路口北(公交站)
S0588,大红罗厂西口,116.373238,39.928028,北京市西城区大红罗厂西口(公交站)
S0589,平安里路口南,116.373108,39.930763,北京市西城区平安里路口南(公交站)
S0590,厂桥路口西,116.378155,39.932817,北京市西城区厂桥路口西(公交站)
S0591,国子监,116.416645,39.946137,北京市东城区国子监(公交站)
S0592,和平东桥南,116.424934,39.968395,北京市朝阳区和平东桥南(公交站)
S0593,和平东桥北,116.424759,39.971516,北京市朝阳区和平东桥北(公交站)
S0594,中日医院,116.424718,39.974332,北京市朝阳区中日医院(公交站)
S0595,对外经贸大学,116.424309,39.981915,北京市朝阳区对外经贸大学(公交站)
S0596,惠新东桥南,116.424089,39.98694,北京市朝阳区惠新东桥南(公交站)
S0597,惠新东桥北,116.424136,39.990343,北京市朝阳区惠新东桥北(公交站)
S0598,小营东路,116.426437,39.993724,小营东路(公交站)
S0599,世纪村,116.431473,39.993702,北京市朝阳区世纪村(公交站)
S0600,育慧东路,116.435822,39.993702,北京市朝阳区育慧东路(公交站)
S0601,姜庄湖,116.437205,39.996658,北京市朝阳区姜庄湖(公交站)
S0602,小营公交场站,116.433429,39.997283,北京市朝阳区小营公交场站(公交站)
S0603,南礼士路北口,116.353142,39.921478,北京市西城区南礼士路北口(公交站)
S0617,定安路,116.413963,39.861324,北京市东城区定安路(公交站)
S0618,琉璃井,116.413837,39.863789,北京市东城区琉璃井(公交站)
S0620,正义路,116.404293,39.900651,北京市东城区正义路(公交站)
S0621,沙滩路口南,116.40641,39.922787,北京市东城区沙滩路口南(公交站)
S0633,李村,116.413672,39.867092,北京市东城区李村(公交站)
S0643,东便门,116.429443,39.900665,北京市东城区东便门(公交站)
S0644,台基厂路口西,116.410088,39.900932,北京市东城区台基厂路口西(公交站)
S0645,前门东,116.401787,39.900578,北京市东城区前门东(公交站)
S0646,北京供电局,116.389792,39.900204,北京市西城区北京供电局(公交站)
S0660,德胜门外,116.379618,39.952778,北京市西城区德胜门外(公交站)
S0661,积水潭桥南,116.372196,39.946914,北京市西城区积水潭桥南(公交站)
S0662,新街口北,116.372339,39.94191,北京市西城区新街口北(公交站)
S0672,天宁寺桥西,116.343613,39.89753,北京市西城区天宁寺桥西(公交站)
S0673,莲花小区,116.301806,39.897092,北京市海淀区莲花小区(公交站)
S0674,金家村桥东,116.296866,39.896819,北京市海淀区金家村桥东(公交站)
S0676,宣武门西,116.373555,39.899701,北京市西城区宣武门西(公交站)
S0678,地铁西直门站,116.351931,39.941467,北京市西城区地铁西直门站(公交站)
S0680,皂君庙,116.340942,39.957882,北京市海淀区皂君庙(公交站)
S0683,中国农业科学院,116.322853,39.960819,北京市海淀区中国农业科学院(公交站)
S0687,保福寺桥西,116.330658,39.98571,北京市海淀区保福寺桥西(公交站)
S0688,北京城市学院,116.345595,39.98638,北京市海淀区北京城市学院(公交站)
S0689,成府路口南,116.353378,39.990757,北京市海淀区成府路口南(公交站)
S0690,学院路北口,116.353034,39.997118,北京市海淀区学院路北口(公交站)
S0691,中国农业大学东校区,116.35688,40.001217,北京市海淀区中国农业大学东校区(公交站)
S0692,二里庄北口,116.362708,40.001293,北京市海淀区二里庄北口(公交站)
S0693,明光桥南,116.354891,39.956554,北京市海淀区明光桥南(公交站)
S0694,后库,116.378815,39.927773,北京市西城区后库(公交站)
S0695,北京三十九中学,116.377188,39.92602,北京市西城区北京三十九中学(公交站)
S0696,府右街,116.381821,39.921623,北京市西城区府右街(公交站)
S0697,力学胡同,116.381798,39.913345,北京市西城区力学胡同(公交站)
S0698,六部口,116.383469,39.90543,北京市西城区六部口(公交站)
S0699,和平门内,116.384193,39.90135,北京市西城区和平门内(公交站)
S0700,琉璃厂,116.384562,39.894883,北京市西城区琉璃厂(公交站)
S0701,四路通,116.38681,39.861706,北京市丰台区四路通(公交站)
